昵称,id,学历,学校,学院,专业,经验,简介
打地鼠,5b08de4974e96aa741314076,学生,西北工业大学,机电学院,Engineering,的撒的撒,
Jialin,5b06ceaf04bad5e72c7ba70f,讲师,江西财经大学,信息管理学院,Business Administation / Management Science,,
郑老师,5b062c3404bad5e72c7ba701,博士，讲师,合肥学院,合肥学院管理系,Business Administation / Management Science,从事战略管理，人力资源管理相关研究,
Michael Fei,5b056d5a04bad5e72c7ba6ff,Phd,中国人民大学,商学院,Business Administation / Management Science,,
Leon,5b043ba804bad5e72c7ba6ec,phd,澳门大学,工商管理学院,Business Administation / Management Science,,
Oliver J,5b03ff6d74e96aa741313fcd,博士生,清华大学,清华-伯克利深圳学院,Engineering,"THU, IEOR",
李论,5b03f98c74e96aa741313fc3,博士生,北京理工大学,管理与经济学院,Business Administation / Management Science,北京理工大学  管理科学与工程  博士研究生,
Jack,5b03efb574e96aa741313fc1,Associate Professor ,Chengdu Normal University ,School of Tourism Management ,Electrical and Electronic Engineering,PhD ,
姜苗红,5b03d03604bad5e72c7ba6cb,学生,天津财经大学,商学院,Business Administation / Management Science,一个研究生,
邓不红,5b02c9f504bad5e72c7ba6c2,学生,广州大学,经济与统计学院,Economics / Finance,,
lily,5b02a88d74e96aa741313fb3,教师,大学,管理、经济,Business Administation / Management Science,国外留学期间享受了一段纯粹的学术研究生活，工作后学术研究青黄不接，希望能回归正道。,
highlight,5b027dde74e96aa741313fab,学生,天津财经大学,商学院企业管理系,Business Administation / Management Science,just  study,刚刚开始
朱方园,5b02549b74e96aa741313fa3,学生,北师大,心理学部,Psychology,,
核桃雨露,5b02298074e96aa741313fa2,学生,南京财经大学,营销与物流管理学院,Economics / Finance,A college senior student,
yx,5b01366774e96aa741313f9e,学生,中科院,力学研究所,Computer and Information Science,haohz,好孩子
silence,5b01196174e96aa741313f9d,在校学生,浙江财经大学,金融学院,Economics / Finance,,
joeknight,5affef9204bad5e72c7ba651,博士,湘潭大学,湘潭大学商学院,Economics,湘潭大学在读经济学博士,
XXXL_LX,5afd6aa274e96aa741313f89,学生,复旦大学,经济学院,Economics / Finance,fengguniang ,
Candy,5afd121374e96aa741313f84,学生,北京物资学院,商学院,Economics,一个不愿意轻易放弃的人,大学生创新创业
longlive,5afd273b04bad5e72c7ba635,本科生,上海财经大学,,Economics / Finance,金融 升学中 财大,
是童啊,5afc37a674e96aa741313f70,学生,浙江师范大学,教师教育学院,Psychology,求是 ,
